star_name,served_arpt,fixes
ELN.ELN4,TCM,KPOWW
EMMAS.EMMAS1,RFD,EMMAS DOKKE
EMZOH.EMZOH4,HWD OAK,EMZOH MYJAW SKIZM
ENCEE.ENCEE3,ANE FCM LVN MIC STP,ENCEE WOOOD CASNS MLHOF RIXIE MAYER FUDGE GEP
ENDEE.ENDEE8,MDW,ENDEE STKNY
ENL.ENL2,BLV,ENL HOVIZ EIKEL DUTMY
ENO.ARLFT2,33N DOV ILG,ENO ARLFT
ENO.PROUD2,LGA,ENO SKIPY BESSI EDJER DAVYS HOLEY BRAND KORRY DEPDY TYKES MINKS JERZY RENUE APPLE PROUD
ERNNY.ERNNY8,ORD,ERNNY PAPPI TUBEZ
ESSPO.ESSPO5,ORD,ESSPO LAACY IZARD CABIJ
ESSSO.PAATS4,MQS PHL PNE TTN,ESSSO PAATS
ETBUY.DMSTR2,RDU,ETBUY DMSTR
EURRO.OOSHN5,BOS,EURRO OOSHN
FALCO.FALCO5,EIL,BNGAL UBGEW FALCO
FARMR.FARMR3,ALN BLV CPS,FARMR FASHE
FASTO.FASTO2,BFL,FASTO
FIM.FERN7,BUR SMO VNY,FIM
FIM.MOOR4,LAX,FIM PAULA ILEAN WAKER
FINGR.CRIKT1,DAL,FINGR SLANT CRIKT
FINGR.FINGR9,ADS DAL DFW F41 F46 HQZ JWY LNC RBD TKI,FINGR
FINGR.HIBIL3,DAL,FINGR SLANT HIBIL
FINGR.SLANT3,ADS F41 F46 HQZ JWY LNC RBD TKI,FINGR SLANT
FISSK.FISSK7,MDW,FISSK VEECK FISSK OZZEY VEECK AZUMO OZZEY HALIE AZUMO HALIE
FLATI.FLATI5,DEN,FLATI ELLDO
FLCHR.FLCHR1,VGT,FLCHR OPNOW GEOOF KEEKE ECAKO
FLLGG.STOCR4,CLT,FLLGG FFNSH STOCR
FLOSI.FLOSI4,EWR,FLOSI CRANK SHAFF SAX PHLBO HOKIR
FNLEE.FNLEE1,RFD,FNLEE SADIE
FNTSY.FNTSY1,EYW NQX,FNTSY GUCEL
FOREY.FOREY2,ARB CYQG DET FNT MTC ONZ OZW PTK TTF VLL YIP,FOREY VRNRS SWETY
FORTL.FORTL9,FLL FXE HWO OPF PMP,FORTL CHICK FLL
FOWEE.FOWEE2,07FA HST MIA TMB X51,FOWEE JUNUR LUVLY DHP
FQM.FQM3,EWR,FQM HAYED RACKI PENNS SWEET
FRIHO.FRIHO4,ABQ AEG,FRIHO ABQ
FRLON.FRLON2,SJC,FRLON STLER MNTNA MISSS PPEGS
FROGZ.FROGZ4,07FA HST MIA TMB X51,FROGZ
FSHER.DBRY5,COS,FSHER BRK
FSYTH.KUSTR3,BIL,FSYTH KUSTR
FYTTE.FYTTE7,ORD,FYTTE MOTRR COGSS MADII SOOLU
GABOO.GABOO1,3R9 HYI RYW T74,GABOO SEWZY
GABOO.SEWZY6,AUS,GABOO SEWZY VADRR
GAVNN.GAVNN7,CVG,GAVNN KNEDY UDEYS
GEP.GEP1,ANE FCM LVN MIC MSP STP,GOLLF GEP VYKES
GHOST.CCASH1,OUN PWA TIK,GHOST CCASH
GHOST.GHOST3,OKC,GHOST CCASH
GIBBZ.GIBBZ5,HEF IAD JYO,GIBBZ SUNYJ
GIIBS.GIIBS4,IND,GIIBS BUPTE
GLASR.GLASR3,BFI RNT SEA TCM,GLASR JAKSN WOODI HETHR
GLAVN.GLAVN1,ATL,GLAVN STHRN
GMANN.HTOWN3,IAH,GMANN HTOWN WDLNS
